Parliament Station (Melbourne City),-,-,5:14,5:26,5:44,5:56,6:14,6:26,-,6:44,6:56,7:06,7:16,7:26,7:36,-,-,8:06,8:16,8:26,8:36,8:46,-,9:06,-,9:26,-,9:36,-,-,-,10:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melbourne Central Station (Melbourne City),-,-,5:16,5:28,5:46,5:58,6:16,6:28,-,6:46,6:58,7:08,7:18,7:28,7:38,-,-,8:08,8:18,8:28,8:38,8:48,-,9:08,-,9:28,-,9:38,-,-,-,10:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southern Cross Station (Melbourne City),-,-,5:19,5:31,5:49,6:01,6:19,6:31,-,6:49,7:01,7:11,7:21,7:31,7:41,-,-,8:11,8:21,8:31,8:41,8:51,-,9:11,-,9:31,-,9:41,-,-,-,10:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),-,-,5:23,5:35,5:53,6:05,6:23,6:35,-,6:53,7:05,7:15,7:25,7:35,7:45,-,-,8:15,8:25,8:35,8:45,8:55,-,9:15,-,9:35,-,9:45,-,-,-,10:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),4:55,5:08,5:25,5:38,5:55,6:08,6:25,6:38,6:48,6:58,7:08,7:18,7:28,7:38,7:48,7:58,8:08,8:18,8:28,8:38,8:48,8:58,9:08,9:18,9:28,9:38,-,9:48,9:58,10:08,10:18,10:28,10:38,10:45,10:48,10:55,10:58,11:05,11:08,11:15,11:18,11:25,11:28,11:35,11:38,11:45,11:48,11:55,11:58,12:05,12:08,12:15,12:18,12:25,12:28,12:35,12:38,12:45,12:48,12:55,12:58,13:05,13:08,13:15,13:18,13:25,13:28,13:35,13:38,13:45,13:48,13:55,13:58,14:05,14:08,14:15,14:18,14:25,14:28,14:35,14:38,14:45,14:48,14:55,14:58,15:05,15:08,15:15,15:18,15:25,15:28,15:35,15:38,15:45,15:48,15:55,15:58,16:05,16:08,16:15,16:18,16:25,16:28,16:35,16:38,16:45,16:48,16:55,16:58,17:05,17:08,17:15,17:18,17:25,17:28,17:35,17:38,17:45,17:48,17:55,17:58,18:05,18:08,18:15,18:18,18:25,18:28,18:35,18:38,18:45,18:48,18:55,18:58,19:08,19:15,19:25,19:40,19:55,20:10,20:25,20:40,20:55,21:10,21:25,21:40,21:55,22:10,22:25,22:40,22:55,23:10,23:25,23:40,23:55,0:10,0:15,0:32,0:35,1:02,1:05
Richmond Station (Richmond),4:58,5:11,5:28,5:41,5:58,6:11,6:28,6:41,6:51,7:01,7:11,7:21,7:31,7:41,7:51,8:01,8:11,8:21,8:31,8:41,8:51,9:01,9:11,9:21,9:31,9:41,-,9:51,10:01,10:11,10:21,10:31,10:41,10:48,10:51,10:58,11:01,11:08,11:11,11:18,11:21,11:28,11:31,11:38,11:41,11:48,11:51,11:58,12:01,12:08,12:11,12:18,12:21,12:28,12:31,12:38,12:41,12:48,12:51,12:58,13:01,13:08,13:11,13:18,13:21,13:28,13:31,13:38,13:41,13:48,13:51,13:58,14:01,14:08,14:11,14:18,14:21,14:28,14:31,14:38,14:41,14:48,14:51,14:58,15:01,15:08,15:11,15:18,15:21,15:28,15:31,15:38,15:41,15:48,15:51,15:58,16:01,16:08,16:11,16:18,16:21,16:28,16:31,16:38,16:41,16:48,16:51,16:58,17:01,17:08,17:11,17:18,17:21,17:28,17:31,17:38,17:41,17:48,17:51,17:58,18:01,18:08,18:11,18:18,18:21,18:28,18:31,18:38,18:41,18:48,18:51,18:58,19:01,19:11,19:18,19:28,19:43,19:58,20:13,20:28,20:43,20:58,21:13,21:28,21:43,21:58,22:13,22:28,22:43,22:58,23:13,23:28,23:43,23:58,0:13,0:18,0:35,0:38,1:05,1:08
South Yarra Station (South Yarra),5:01,5:14,5:31,5:44,6:01,6:14,6:31,6:44,6:54,7:04,7:14,7:24,7:34,7:44,7:54,8:04,8:14,8:24,8:34,8:44,8:54,9:04,9:14,9:24,9:34,9:44,-,9:54,10:04,10:14,10:24,10:34,10:44,10:51,10:54,11:01,11:04,11:11,11:14,11:21,11:24,11:31,11:34,11:41,11:44,11:51,11:54,12:01,12:04,12:11,12:14,12:21,12:24,12:31,12:34,12:41,12:44,12:51,12:54,13:01,13:04,13:11,13:14,13:21,13:24,13:31,13:34,13:41,13:44,13:51,13:54,14:01,14:04,14:11,14:14,14:21,14:24,14:31,14:34,14:41,14:44,14:51,14:54,15:01,15:04,15:11,15:14,15:21,15:24,15:31,15:34,15:41,15:44,15:51,15:54,16:01,16:04,16:11,16:14,16:21,16:24,16:31,16:34,16:41,16:44,16:51,16:54,17:01,17:04,17:11,17:14,17:21,17:24,17:31,17:34,17:41,17:44,17:51,17:54,18:01,18:04,18:11,18:14,18:21,18:24,18:31,18:34,18:41,18:44,18:51,18:54,19:01,19:04,19:14,19:21,19:31,19:46,20:01,20:16,20:31,20:46,21:01,21:16,21:31,21:46,22:01,22:16,22:31,22:46,23:01,23:16,23:31,23:46,0:01,0:16,0:21,0:38,0:41,1:08,1:11
Hawksburn Station (South Yarra),5:03,5:16,5:33,5:46,6:03,6:16,6:33,6:46,6:56,7:06,7:16,7:26,7:36,7:46,7:56,8:06,8:16,8:26,8:36,8:46,8:56,9:06,9:16,9:26,9:36,9:46,-,9:56,10:06,10:16,10:26,10:36,10:46,|,10:56,|,11:06,|,11:16,|,11:26,|,11:36,|,11:46,|,11:56,|,12:06,|,12:16,|,12:26,|,12:36,|,12:46,|,12:56,|,13:06,|,13:16,|,13:26,|,13:36,|,13:46,|,13:56,|,14:06,|,14:16,|,14:26,|,14:36,|,14:46,|,14:56,|,15:06,|,15:16,|,15:26,|,15:36,|,15:46,|,15:56,|,16:06,|,16:16,|,16:26,|,16:36,|,16:46,|,16:56,|,17:06,|,17:16,|,17:26,|,17:36,|,17:46,|,17:56,|,18:06,|,18:16,|,18:26,|,18:36,|,18:46,|,18:56,|,19:06,19:16,|,19:33,19:48,20:03,20:18,20:33,20:48,21:03,21:18,21:33,21:48,22:03,22:18,22:33,22:48,23:03,23:18,23:33,23:48,0:03,0:18,0:23,0:40,0:43,1:10,1:13
Toorak Station (Armadale),5:05,5:18,5:35,5:48,6:05,6:18,6:35,6:48,6:58,7:08,7:18,7:28,7:38,7:48,7:58,8:08,8:18,8:28,8:38,8:48,8:58,9:08,9:18,9:28,9:38,9:48,-,9:58,10:08,10:18,10:28,10:38,10:48,|,10:58,|,11:08,|,11:18,|,11:28,|,11:38,|,11:48,|,11:58,|,12:08,|,12:18,|,12:28,|,12:38,|,12:48,|,12:58,|,13:08,|,13:18,|,13:28,|,13:38,|,13:48,|,13:58,|,14:08,|,14:18,|,14:28,|,14:38,|,14:48,|,14:58,|,15:08,|,15:18,|,15:28,|,15:38,|,15:48,|,15:58,|,16:08,|,16:18,|,16:28,|,16:38,|,16:48,|,16:58,|,17:08,|,17:18,|,17:28,|,17:38,|,17:48,|,17:58,|,18:08,|,18:18,|,18:28,|,18:38,|,18:48,|,18:58,|,19:08,19:18,|,19:35,19:50,20:05,20:20,20:35,20:50,21:05,21:20,21:35,21:50,22:05,22:20,22:35,22:50,23:05,23:20,23:35,23:50,0:05,0:20,0:25,0:42,0:45,1:12,1:15
Armadale Station (Armadale),5:07,5:20,5:37,5:50,6:07,6:20,6:37,6:50,7:00,7:10,7:20,7:30,7:40,7:50,8:00,8:10,8:20,8:30,8:40,8:50,9:00,9:10,9:20,9:30,9:40,9:50,-,10:00,10:10,10:20,10:30,10:40,10:50,|,11:00,|,11:10,|,11:20,|,11:30,|,11:40,|,11:50,|,12:00,|,12:10,|,12:20,|,12:30,|,12:40,|,12:50,|,13:00,|,13:10,|,13:20,|,13:30,|,13:40,|,13:50,|,14:00,|,14:10,|,14:20,|,14:30,|,14:40,|,14:50,|,15:00,|,15:10,|,15:20,|,15:30,|,15:40,|,15:50,|,16:00,|,16:10,|,16:20,|,16:30,|,16:40,|,16:50,|,17:00,|,17:10,|,17:20,|,17:30,|,17:40,|,17:50,|,18:00,|,18:10,|,18:20,|,18:30,|,18:40,|,18:50,|,19:00,|,19:10,19:20,|,19:37,19:52,20:07,20:22,20:37,20:52,21:07,21:22,21:37,21:52,22:07,22:22,22:37,22:52,23:07,23:22,23:37,23:52,0:07,0:22,0:27,0:44,0:47,1:14,1:17
Malvern Station (Malvern),5:09,5:22,5:39,5:52,6:09,6:22,6:39,6:52,7:02,7:12,7:22,7:32,7:42,7:52,8:02,8:12,8:22,8:32,8:42,8:52,9:02,9:12,9:22,9:32,9:42,9:52,-,10:02,10:12,10:22,10:32,10:42,10:52,|,11:02,|,11:12,|,11:22,|,11:32,|,11:42,|,11:52,|,12:02,|,12:12,|,12:22,|,12:32,|,12:42,|,12:52,|,13:02,|,13:12,|,13:22,|,13:32,|,13:42,|,13:52,|,14:02,|,14:12,|,14:22,|,14:32,|,14:42,|,14:52,|,15:02,|,15:12,|,15:22,|,15:32,|,15:42,|,15:52,|,16:02,|,16:12,|,16:22,|,16:32,|,16:42,|,16:52,|,17:02,|,17:12,|,17:22,|,17:32,|,17:42,|,17:52,|,18:02,|,18:12,|,18:22,|,18:32,|,18:42,|,18:52,|,19:02,|,19:12,19:22,|,19:39,19:54,20:09,20:24,20:39,20:54,21:09,21:24,21:39,21:54,22:09,22:24,22:39,22:54,23:09,23:24,23:39,23:54,0:09,0:24,0:29,0:46,0:49,1:16,1:19
Caulfield Station (Caulfield East),5:11,5:24,5:41,5:54,6:11,6:24,6:41,6:54,7:05,7:15,7:25,7:35,7:45,7:55,8:05,8:15,8:25,8:35,8:45,8:55,9:05,9:15,9:25,9:35,9:45,9:55,-,10:05,10:15,10:25,10:35,10:45,10:55,10:58,11:05,11:08,11:15,11:18,11:25,11:28,11:35,11:38,11:45,11:48,11:55,11:58,12:05,12:08,12:15,12:18,12:25,12:28,12:35,12:38,12:45,12:48,12:55,12:58,13:05,13:08,13:15,13:18,13:25,13:28,13:35,13:38,13:45,13:48,13:55,13:58,14:05,14:08,14:15,14:18,14:25,14:28,14:35,14:38,14:45,14:48,14:55,14:58,15:05,15:08,15:15,15:18,15:25,15:28,15:35,15:38,15:45,15:48,15:55,15:58,16:05,16:08,16:15,16:18,16:25,16:28,16:35,16:38,16:45,16:48,16:55,16:58,17:05,17:08,17:15,17:18,17:25,17:28,17:35,17:38,17:45,17:48,17:55,17:58,18:05,18:08,18:15,18:18,18:25,18:28,18:35,18:38,18:45,18:48,18:55,18:58,19:05,19:08,19:15,19:25,19:28,19:42,19:56,20:11,20:26,20:41,20:56,21:11,21:26,21:41,21:56,22:11,22:26,22:41,22:56,23:11,23:26,23:41,23:56,0:11,0:26,0:31,0:48,0:51,1:18,1:21
Carnegie Station (Carnegie),5:13,-,5:43,-,6:13,-,6:43,-,7:07,-,7:27,-,7:47,-,8:07,-,8:27,-,8:47,-,9:07,-,9:27,-,9:47,-,-,10:07,-,10:27,-,10:47,-,11:00,-,11:10,-,11:20,-,11:30,-,11:40,-,11:50,-,12:00,-,12:10,-,12:20,-,12:30,-,12:40,-,12:50,-,13:00,-,13:10,-,13:20,-,13:30,-,13:40,-,13:50,-,14:00,-,14:10,-,14:20,-,14:30,-,14:40,-,14:50,-,15:00,-,15:10,-,15:20,-,15:30,-,15:40,-,15:50,-,16:00,-,16:10,-,16:20,-,16:30,-,16:40,-,16:50,-,17:00,-,17:10,-,17:20,-,17:30,-,17:40,-,17:50,-,18:00,-,18:10,-,18:20,-,18:30,-,18:40,-,18:50,-,19:00,-,19:10,-,-,19:30,-,19:58,-,20:28,-,20:58,-,21:28,-,21:58,-,22:28,-,22:58,-,23:28,-,23:58,-,0:28,-,0:50,-,1:20,-
Murrumbeena Station (Murrumbeena),5:15,-,5:45,-,6:15,-,6:45,-,7:09,-,7:29,-,7:49,-,8:09,-,8:29,-,8:49,-,9:09,-,9:29,-,9:49,-,-,10:09,-,10:29,-,10:49,-,11:02,-,11:12,-,11:22,-,11:32,-,11:42,-,11:52,-,12:02,-,12:12,-,12:22,-,12:32,-,12:42,-,12:52,-,13:02,-,13:12,-,13:22,-,13:32,-,13:42,-,13:52,-,14:02,-,14:12,-,14:22,-,14:32,-,14:42,-,14:52,-,15:02,-,15:12,-,15:22,-,15:32,-,15:42,-,15:52,-,16:02,-,16:12,-,16:22,-,16:32,-,16:42,-,16:52,-,17:02,-,17:12,-,17:22,-,17:32,-,17:42,-,17:52,-,18:02,-,18:12,-,18:22,-,18:32,-,18:42,-,18:52,-,19:02,-,19:12,-,-,19:32,-,20:00,-,20:30,-,21:00,-,21:30,-,22:00,-,22:30,-,23:00,-,23:30,-,0:00,-,0:30,-,0:52,-,1:22,-
